Issue Type,Epic Name,Epic Link,Summary,Description,Priority,Labels,Story Points
Epic,Setup & Infraestructura,,"Setup & Infraestructura","Configuración inicial del proyecto: Supabase schema, Next.js scaffold, variables de entorno, keep-alive cron, CI/CD básico.",Highest,"setup,infra",
Epic,Bot WhatsApp — Core,,"Bot WhatsApp — Core","Webhook de WhatsApp, motor de estados de conversación, menú principal, flujo de agendamiento end-to-end, captura de datos del cliente.",Highest,"bot,whatsapp",
Epic,Bot WhatsApp — LLM Info,,"Bot WhatsApp — LLM Info","Flujo de consulta de tratamientos y precios con RAG sobre la base de servicios. Knowledge base sincronizada con tabla services.",High,"bot,llm,rag",
Epic,Scheduling Engine,,"Scheduling Engine","Motor de horarios: regla de slots adyacentes, validación de disponibilidad con Google Calendar, buffer entre turnos, horarios laborales por profesional.",Highest,"scheduling,gcal",
Epic,Pagos,,"Pagos","Integración con Mercado Pago (webhook de confirmación automática) y confirmación manual de transferencias bancarias. Ambos paths convergen en deposit_paid.",Highest,"pagos,mercadopago",
Epic,Google Calendar Integration,,"Google Calendar Integration","Creación de eventos al confirmar turno (status confirmed). Lectura de disponibilidad. OAuth por profesional. Eliminación/actualización al cancelar.",High,"gcal,integracion",
Epic,Automatizaciones Post-atención,,"Automatizaciones Post-atención","Recordatorio 24hs, confirmación del cliente, cron de encuesta post-atención, trigger de reseña Google, sugerencia de próxima sesión.",High,"cron,automatizacion,whatsapp",
Epic,Backoffice — Dashboard & Reservas,,"Backoffice — Dashboard & Reservas","Dashboard con métricas, cola de pagos pendientes, vista de agenda, CRUD de reservas con flujo de estados y audit log.",High,"backoffice,dashboard",
Epic,Backoffice — Administración,,"Backoffice — Administración","CRUD de servicios, profesionales, clientes y configuración global del sistema (templates WA, pagos, scheduling, rate limit).",High,"backoffice,admin",
Epic,Seguridad & Permisos,,"Seguridad & Permisos","RLS en Supabase, roles admin/profesional, auth en backoffice, rate limiting del bot, validación HMAC webhook WA, audit log de servicios.",High,"seguridad,auth,rls",
